Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S78	S77	S80	S79	S82	S81	S84	S83	S86	S85	S88	S87	S90	S89	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105
A0A0G2JRQ6	35	A0A0G2JRQ6	1.0	20.622460631738637	20.614519473768784	20.838088358888516	20.777974760330814	21.16169637377087	20.17416640629109	21.794851336508845	20.595850787608125	20.730343185509103	20.319037818757884	20.944585247030563	20.020352893352314	20.682451202190062	20.074578991412682	20.926321664803456	20.309767438354754	20.56283210699837	19.299702995356682	20.165408357463466	19.8170100132399	19.340729104900074	21.08260497663063	20.73395487377224	20.542730752806435	20.781815626443347	20.123328901515247	20.38986269218385	20.370363283870148	18.645862624604316	20.920574577465455	20.290285175008307	20.706020213688742	20.505872034599886	20.250275034512665	20.83726179596028	20.134494647823765	20.82222782456264	21.115257282416145	21.039290021062662	21.248232453455532	20.501276448378057	19.870263881808597	20.21620236949855	20.457707866644313	20.759089606495362	20.01474026917141	21.031943575635214	20.537417068214232	20.41909406802685	20.61879387721449	20.89435429792198	20.547126266168757	20.55626951572004	19.953721074386262	20.78371301902034	20.697760794284342	21.62785416807142	20.43615280664974	20.130620271430153	20.072011362949198	20.53011771559174	20.436895845066395	20.702718765750216	23.431367986729875	20.764104454025336	20.82451852782973	20.18446986217218	19.781303968793974	20.785965621952705	20.37705795387011	20.15109789030494	20.400622883618535	19.989813234592525	20.96150382153783	20.840317132974572	20.927053819468053	21.614909718495085	21.098806776375255	22.09959286454234	20.284881412039187	21.421368131934987	21.117317093963468	21.479552413346614	21.585434949498246	20.313553287907972	21.869838773635884	20.623532033374847	20.654756603500875	21.03221748593652	21.160169485309762	19.932916378147528	20.906806292198098	20.57159293935574	20.968352746443905	21.002534782586448	20.005697160849326	20.90500609187304	21.259008094392804	20.792312114113955	20.47100481049054	20.372368373345708	20.540672737374653	21.190307042249565	20.83699308699942	20.75557237732523	20.69729767180466
A0A0J9YY99	10	A0A0J9YY99	1.0	21.170210704987664	20.62729297325999	21.038596735637327	21.064211425659877	22.445336273525037	20.269437063689058	21.549237946459474	20.372544598217733	19.98286703010296	20.11169216434367	21.159084451315845	19.047286620037397	21.007255402061023	20.397305797331313	20.632648803793412	20.50516213837479	19.932467430932007	20.12764032642136	20.70612657510918	19.921515689561616	NA	19.63821208343184	20.199199660591248	23.27097298256259	21.362027782941922	20.909512259306393	20.35373821996238	NA	19.35060658609616	19.65482584919259	22.00989411374559	20.45944492575016	20.997125984548322	20.78393557750794	20.901332910042896	20.774398107411496	20.438820850473718	21.136300987496217	21.891137156185614	20.4145599305337	21.117060368785108	21.10324154788359	20.76551481162433	20.609004778190933	20.163795380449418	20.931039758550813	18.587826317919763	19.97619255340266	18.35887880316222	19.57119932739291	19.370731000789995	20.064120078697034	19.386660884922087	18.91826441621693	20.378878878628303	19.858877916326954	18.67875757232388	20.17665530310142	19.14198427839145	21.713208902077348	19.569103190220734	22.289937236948013	21.89853613963097	23.483011019565005	20.943511228367644	21.34510528380841	22.08145061470768	21.07074180772394	21.291432689654144	21.14055405770297	21.475460081810496	20.909686496317917	20.19537900589764	21.67014471599512	20.31960201441368	21.123044120200827	22.95525245739523	21.486995748103272	20.705882627687664	21.052070812241187	20.863960804493598	20.088067257682912	20.24373181869797	20.422176618661574	19.437256337734638	22.01546133060261	21.623200008446474	21.943733631576578	20.772042141959773	21.725346618788382	21.509449786807792	20.04894758869992	21.1092957180765	21.5341114089612	21.101933980897996	20.93284695328198	20.58490579795254	20.92462755125028	20.54285738884156	23.11490129369396	21.090270614383247	21.740109509594742	21.652716007395927	21.92329747381779	20.83521629711412	20.451789889137
A1BG	522	P04217	1.0	25.840837776308014	25.8599480837965	26.072144306993405	25.936130935506934	26.098073388890434	25.870859714563064	25.37814462769804	26.078002780045576	25.941727268971675	25.747694894295925	25.796541370539614	25.74597789382647	25.828921940230217	26.129150998311015	25.78345681555253	26.221422039808303	26.166679413613114	26.077164381819163	25.333497930769013	26.280937506451245	26.027835069107393	25.77114742465494	26.157403718502195	25.75129125072823	26.056820172898213	26.334793186262456	25.843003146167547	26.14673537238034	25.929919456835684	25.99818630714256	26.26571309442212	26.284573331823474	25.836712348150666	26.350448466956404	26.278699514985306	26.56413784302763	25.986262527010435	25.40709475613719	25.69793602723421	25.701402411152912	25.89406845522888	26.134015413736137	25.693894834690724	25.635648785535224	26.030645129044245	26.263432225978047	26.16602748108358	25.89269844432585	25.64393738165726	25.93287497688735	25.91404467225646	26.041031004284868	26.17426165947667	25.427887696451997	25.898250107509043	25.758247119306482	25.916096756848074	25.59296784528431	25.902801703047913	26.557085427421207	26.15162292962501	25.999270590142665	26.058933181855036	25.389940537375022	26.238077441611004	26.009154645544978	26.699213751747248	25.88079918712775	26.277327960364914	26.4331320892397	25.970552977972016	26.27783024477533	25.814360367705326	26.377601602356084	26.455376319378935	25.957422465846438	25.71326809442544	25.73869147085255	26.06223773534559	26.3830709687452	25.98635032394527	25.435118372080314	26.02486381683027	25.899322425078598	25.93802879445213	25.733372294392684	26.08020958993083	25.908732446493293	26.146900021977018	26.001697073058082	26.22755626817073	26.143524364709396	25.983625052880505	26.133734271912424	25.84381321803279	26.187348217783356	26.09695158151178	25.995364913368643	26.16423869707174	25.95932257568864	26.080361486098393	25.73589539161726	26.190622900364428	26.174650291466893	25.84022677957011	26.169234751308856
A2M	3747	P01023	1.0	30.961820599731684	31.65833370373879	31.1112133099067	30.913545567418993	31.030766854511413	31.284069384666676	30.61462101621695	31.131422158410754	31.560838855640146	30.741566396108983	31.22056067612979	30.579941882736534	30.72061437481377	30.904748459137735	30.459886725083937	31.027335538779386	31.848908623841904	31.02960636538712	30.899523104985107	30.82551397140904	31.19827550424577	30.938935313786455	30.84770402380619	30.236364374156615	30.762905283419297	31.117015963936158	30.9097998278565	30.959250160784364	30.767144722132183	30.853876260737348	30.96599854656369	31.03842769745616	31.511015860634576	31.179538993794868	31.37163373213593	30.92034336552399	31.24786423685503	31.771428889190947	30.195362174138094	32.159696513668365	30.761234067521976	30.832933280121125	30.934758379590267	30.80215102410559	31.381625173957495	31.11139904104928	31.301599668791024	31.757267218913757	31.02011486558607	31.354101705062032	30.431251458829262	31.70965033461147	31.151521864644643	31.766354339763115	31.168845433224288	31.00189867589449	30.848522308082405	30.99140573467097	31.536992174809146	31.714105109158343	31.086025514093787	31.0015353838784	31.15139906092506	30.539575997847663	31.85265411165491	31.25260263046947	31.662230131914512	30.510079679574662	30.96971937956692	30.40598047375903	31.886868420472357	30.34534477549849	31.202063607592386	31.13750201285152	31.546453795065908	31.11770154971853	30.63762269346776	30.196525151370682	30.54362916402323	30.22825418766933	31.188574410586092	30.226200229818378	31.38453485700249	30.762310487954526	31.04900733975459	31.077758087955456	30.38951575337839	30.90723684155138	30.779187856747043	32.00137282924027	30.06014040765266	31.199606995305608	31.85858394271394	31.5260587225819	30.180105975511204	31.081526575778042	30.731117174900007	31.28668335948064	30.831879503114198	30.962502920878812	30.2561736113007	31.04466313805783	30.949027895276974	30.842757729791394	31.367535676571066	30.607136567266014
ACAT2	1	Q9BWD1	0.9999	12.368852373205604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.902918764131156	12.39910765371557	15.140711236942614	15.71992597143641	13.819890214724687	13.529718934558659	13.036168614711606	13.140181260797817	NA	NA	12.559341863668017	13.959632517509624	12.540076285146679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTB	337	P60709	1.0	23.75334124033249	23.485268083797653	22.62114726830281	22.76254827046084	22.727002324084363	23.802636097562058	23.96998571163093	23.049882454644866	23.225001140238405	23.585357012254352	23.094453523171886	25.075378529467738	22.572221381654543	24.05707085271193	24.49989392391133	23.593262960774084	23.40019789409265	23.58332673766136	23.623473910295065	24.009493587349855	23.09851517639465	26.07508834917709	22.706736569810285	23.26175409015862	23.467179324390692	22.93320365716713	23.286403158702022	23.97257056224512	24.6467045135088	23.955563758288168	23.724382182497692	23.02441414119534	23.91048259823012	23.777336306052078	22.971398843098324	23.098274038701504	24.038419807898432	22.879405895769047	25.61469005684335	24.731441371813204	23.59309117751858	24.178498911406102	23.644854406153584	23.472370317228208	22.945784060351414	23.057375925085985	23.673984618464004	23.973074866499356	24.520730969145536	24.431703745172317	24.811170588290636	23.527236961614786	22.73150753667702	24.02483259298599	23.050145499054093	23.901038287703532	23.268143086648177	24.11309253845469	24.23730154708262	22.564067856089356	22.55120198941023	23.794423463156285	23.439392278029374	23.775457773540836	23.324976197086016	22.6205123190533	22.89149872751888	26.051793478998654	23.358857061398805	24.41804858893291	24.14844595936956	24.48900386471168	24.223939970850466	23.95945447297552	23.10188985720783	22.767356860280902	22.50829588255911	24.065727634295197	22.920108334009882	24.903298157222572	22.375846356068866	23.32252766176383	22.88035120178336	23.5435561864458	22.48439689726428	23.544507289085423	23.58514848616798	24.087109716094755	23.38544224614462	22.542069736407733	24.54024671787952	21.94205944986868	22.284603600286204	22.982296956993626	23.80334208201658	23.366516785901485	24.175097631242544	22.551907581526297	23.753055112197853	23.428303628995586	24.361898152784093	23.24745899307831	22.059401293678068	23.38790926361129	23.033480173376372	23.080929806425157
ACTBL2	1	Q562R1	0.9983	13.789404155722245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.612808553233103	12.438097404579132	13.131605937995895	13.75686568075893	12.791360382313908	14.131266526021836	12.177923173058959	13.476798710323463	13.426631439378417	14.257686606325107	13.18813074145665	11.9774702379715	13.347485171367328	13.059033261169207	13.025632302719314
ACTC1	24	P68032	1.0	19.02489566688149	18.992540848765355	18.44503488462126	18.325771485329014	18.731524593795104	19.3904195212382	19.261256586624956	18.81811189612787	19.069126435430203	19.06479528086322	19.005701847527682	20.41970168896163	18.714872415565914	19.153522036497243	19.303670918234435	19.239486930972934	18.39421123304578	18.87213256281322	18.794760393332623	19.410573524583043	18.553231405118634	21.261695062041134	18.231265530655932	18.949276489066346	18.71168882365302	18.337022362441388	18.407475334245706	19.230876983272072	19.874970843002522	18.914181017669296	18.87158217168644	18.55410081365274	19.286396578998023	19.361951662821625	18.433259441486577	18.298310127108383	19.539949383611493	18.243417435232193	20.791024102306675	19.718023112768023	19.00927873494278	19.47899908356062	19.140080586295866	18.6973483095581	18.156843717710082	19.04617883182123	19.2003682614206	19.317748996332995	19.84365026150903	19.452113561039774	19.821246163553774	18.67312028644569	18.1553109641067	19.691878649592535	18.78783255008728	19.185497286190216	18.516019300735955	19.52854980563381	19.370755687716027	18.347861015540243	18.10489302129848	19.04504618815706	18.855307443685078	18.868070550855588	18.579160873097983	18.45315740295211	18.381822977822427	21.175065954693384	18.363520254549886	19.62190693174192	19.07329635338879	19.372985269599205	19.17628547454798	18.955274386045318	18.467298862927926	17.913274209557	18.70412799637136	19.502055503688638	18.65994651624417	20.029431630415676	18.230134354564196	18.59634449574845	18.32409416619377	18.82296273966538	18.35726704422271	19.028439449011753	19.050604992168566	19.372589656549412	19.03013801391651	18.715283807085246	20.07259734289488	17.500550310097815	17.736629486143908	17.933293561455123	18.950911193561495	18.233137248586136	19.21835308842752	17.632848287377147	18.75291268138503	18.435785850582256	19.272897588086217	18.374427030736403	17.72950320462548	18.41301041814853	18.053046977783136	18.859059260866662
ACTG1	3	P63261	1.0	15.955730596162551	15.983236668924857	14.837761355432125	15.669769658734229	14.368370965207305	NA	14.354437557174716	14.729887117697587	14.879917199801017	14.921931187350825	14.955125424642947	16.226554121238596	14.545351476944122	14.935901250529481	16.11880408977027	15.382404109081154	15.831461015851136	16.50103632266324	15.838879107691437	15.932156145168117	16.28998844793292	18.06361110104777	16.026862542320504	16.24444337469173	15.791501464099845	15.795193913062402	16.216800177572544	15.60995776352403	16.90478215331745	16.43227913005853	16.40593286762786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTN1	24	P12814	1.0	18.231765572758054	18.364130861418502	17.974838827424254	18.24084145120131	18.19566887301634	18.5824294576851	18.410940619059122	17.92497333815028	18.216997880333107	18.192514756908942	18.03591112156691	19.49534048515857	18.03010166047203	18.764649083428715	18.90529320485333	18.622243248598895	18.394872003355168	18.395826519132335	18.11461766915469	18.593971468883016	17.47502010337651	20.84533666114951	17.734390584186972	17.946618290839385	18.31253029084426	17.081947412229713	18.1984600086875	18.58120808003105	19.25566130088606	18.24671532318179	18.390737306432907	18.22449848455154	18.601700734536507	17.6099716577208	18.170815915609293	17.725080503295626	18.686232646758203	17.882663855628415	20.165480589084144	19.115608625931642	17.991478138691548	18.01714850760468	17.991726837926514	17.59116044606924	17.996527195127527	17.67162422051911	18.08677158753585	18.111598348859133	18.08601130844385	18.667252429051363	18.980162031861088	18.09122533619489	17.682307765263825	18.12025685481036	17.03923917649995	18.330950917595313	17.636221577154725	17.107726153988793	18.947374494502046	17.702829466886733	17.47084431770052	17.566637641887247	17.624561835719533	17.79148036951296	18.318066794726885	17.382806010437452	16.97276164197512	20.365598262546076	17.447927348699196	18.760691910217016	18.156374586077398	18.81901397242036	18.54072092546253	18.197308989059504	18.000377390710163	17.216169663192492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
