#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	APOH	9606.ENSP00000263100	9606.ENSP00000205948	0	0	0	0	0.082	0.091	0	0.476	0.525
A1BG	AFM	9606.ENSP00000263100	9606.ENSP00000226355	0	0	0	0	0.063	0	0	0.533	0.544
A1BG	HRG	9606.ENSP00000263100	9606.ENSP00000232003	0	0	0	0	0.122	0.107	0	0.409	0.496
A1BG	APOA1	9606.ENSP00000263100	9606.ENSP00000236850	0	0	0	0	0.047	0	0	0.506	0.509
A1BG	TTR	9606.ENSP00000263100	9606.ENSP00000237014	0	0	0	0	0.042	0	0	0.531	0.531
A1BG	C3	9606.ENSP00000263100	9606.ENSP00000245907	0	0	0	0	0.043	0	0	0.429	0.430
A1BG	APCS	9606.ENSP00000263100	9606.ENSP00000255040	0	0	0	0	0.059	0	0	0.450	0.460
A1BG	ORM1	9606.ENSP00000263100	9606.ENSP00000259396	0	0	0	0	0.044	0	0	0.591	0.592
A1BG	COL6A1	9606.ENSP00000263100	9606.ENSP00000355180	0	0	0	0	0	0.091	0	0.372	0.405
A1BG	GSN	9606.ENSP00000263100	9606.ENSP00000362924	0	0	0	0	0	0	0	0.417	0.416
A1BG	KNG1	9606.ENSP00000263100	9606.ENSP00000493985	0	0	0	0	0.062	0	0	0.404	0.417
A1BG	RBP4	9606.ENSP00000263100	9606.ENSP00000360522	0	0	0	0	0.110	0	0	0.383	0.428
A1BG	APOA2	9606.ENSP00000263100	9606.ENSP00000356969	0	0	0	0	0.048	0	0	0.430	0.434
A1BG	CLU	9606.ENSP00000263100	9606.ENSP00000315130	0	0	0	0	0	0	0	0.435	0.435
A1BG	C9	9606.ENSP00000263100	9606.ENSP00000263408	0	0	0	0	0.061	0	0	0.430	0.442
A1BG	FGG	9606.ENSP00000263100	9606.ENSP00000336829	0	0	0	0	0.091	0	0	0.426	0.456
A1BG	C1R	9606.ENSP00000263100	9606.ENSP00000444271	0	0	0	0	0.058	0.113	0	0.402	0.457
A1BG	APOA4	9606.ENSP00000263100	9606.ENSP00000350425	0	0	0	0	0	0	0	0.465	0.465
A1BG	ITIH3	9606.ENSP00000263100	9606.ENSP00000415769	0	0	0	0	0.136	0.081	0	0.402	0.484
